"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;1;"Ciutat Vella";1;"el Raval";"Dones";"Atur Registrat";1350
2022;1;1;"Ciutat Vella";2;"el Barri GÃ²tic";"Dones";"Atur Registrat";383
2022;1;1;"Ciutat Vella";3;"la Barceloneta";"Dones";"Atur Registrat";439
2022;1;1;"Ciutat Vella";4;"Sant Pere, Santa Caterina i la Ribera";"Dones";"Atur Registrat";603
2022;1;2;"Eixample";5;"el Fort Pienc";"Dones";"Atur Registrat";565
2022;1;2;"Eixample";6;"la Sagrada FamÃ­lia";"Dones";"Atur Registrat";954
2022;1;2;"Eixample";7;"la Dreta de l'Eixample";"Dones";"Atur Registrat";648
2022;1;2;"Eixample";8;"l'Antiga Esquerra de l'Eixample";"Dones";"Atur Registrat";628
2022;1;2;"Eixample";9;"la Nova Esquerra de l'Eixample";"Dones";"Atur Registrat";1003
2022;1;2;"Eixample";10;"Sant Antoni";"Dones";"Atur Registrat";715
2022;1;3;"Sants-MontjuÃ¯c";11;"el Poble Sec";"Dones";"Atur Registrat";906
2022;1;3;"Sants-MontjuÃ¯c";12;"la Marina del Prat Vermell";"Dones";"Atur Registrat";45
2022;1;3;"Sants-MontjuÃ¯c";13;"la Marina de Port";"Dones";"Atur Registrat";940
2022;1;3;"Sants-MontjuÃ¯c";14;"la Font de la Guatlla";"Dones";"Atur Registrat";234
2022;1;3;"Sants-MontjuÃ¯c";15;"Hostafrancs";"Dones";"Atur Registrat";344
2022;1;3;"Sants-MontjuÃ¯c";16;"la Bordeta";"Dones";"Atur Registrat";404
2022;1;3;"Sants-MontjuÃ¯c";17;"Sants - Badal";"Dones";"Atur Registrat";437
2022;1;3;"Sants-MontjuÃ¯c";18;"Sants";"Dones";"Atur Registrat";825
2022;1;4;"Les Corts";19;"les Corts";"Dones";"Atur Registrat";827
2022;1;4;"Les Corts";20;"la Maternitat i Sant Ramon";"Dones";"Atur Registrat";432
2022;1;4;"Les Corts";21;"Pedralbes";"Dones";"Atur Registrat";104
2022;1;5;"SarriÃ -Sant Gervasi";22;"Vallvidrera, el Tibidabo i les Planes";"Dones";"Atur Registrat";45
2022;1;5;"SarriÃ -Sant Gervasi";23;"SarriÃ ";"Dones";"Atur Registrat";228
2022;1;5;"SarriÃ -Sant Gervasi";24;"les Tres Torres";"Dones";"Atur Registrat";174
2022;1;5;"SarriÃ -Sant Gervasi";25;"Sant Gervasi - la Bonanova";"Dones";"Atur Registrat";276
2022;1;5;"SarriÃ -Sant Gervasi";26;"Sant Gervasi - Galvany";"Dones";"Atur Registrat";496
2022;1;5;"SarriÃ -Sant Gervasi";27;"el Putxet i el FarrÃ³";"Dones";"Atur Registrat";444
2022;1;6;"GrÃ cia";28;"Vallcarca i els Penitents";"Dones";"Atur Registrat";287
2022;1;6;"GrÃ cia";29;"el Coll";"Dones";"Atur Registrat";118
2022;1;6;"GrÃ cia";30;"la Salut";"Dones";"Atur Registrat";246
2022;1;6;"GrÃ cia";31;"la Vila de GrÃ cia";"Dones";"Atur Registrat";966
2022;1;6;"GrÃ cia";32;"el Camp d'en Grassot i GrÃ cia Nova";"Dones";"Atur Registrat";639
2022;1;7;"Horta-GuinardÃ³";33;"el Baix GuinardÃ³";"Dones";"Atur Registrat";488
